time_s,collector_inner_voltage_v,collector_total_current_a_um,plt_tmax_k
4.19592869331e-08,2500.0,0.000177809585986,
4.27530017064e-08,2500.0,0.000188995753598,
4.38642023889e-08,2500.0,0.000206254085669,
4.54198833445e-08,2500.0,0.000233787374816,
4.65088600134e-08,2500.0,0.000254797975821,
4.72711436817e-08,2500.0,0.000270427316893,
4.78047422494e-08,2500.0,0.000281830512119,
4.85517802443e-08,2500.0,0.000298778564812,
4.95976334371e-08,2500.0,0.000324552351531,
5e-08,2500.0,0.000334738806149,
5.001e-08,2500.0,0.000334989723575,
5.0024e-08,2500.0,0.0003353432707,
5.00436e-08,2500.0,0.000335839620319,
5.007104e-08,2500.0,0.000336536443261,
5.0109456e-08,2500.0,0.00033751568823,
5.01632384e-08,2500.0,0.000338893402674,
5.023853376e-08,2500.0,0.000340833547873,
5.0343947264e-08,2500.0,0.000343570435288,
5.04915261696e-08,2500.0,0.000347443291247,
5.06981366374e-08,2500.0,0.000352950468861,
5.09873912924e-08,2500.0,0.000360829196164,
5.13923478094e-08,2500.0,0.000372196374164,
5.19592869331e-08,2500.0,0.000388802378107,
5.23561443198e-08,2500.0,0.000400753513406,
5.2911744661e-08,2500.0,0.000418186917188,
5.36895851388e-08,2500.0,0.000444031843499,
5.42340734733e-08,2500.0,0.000462813258684,
5.49963571415e-08,2500.0,0.000490605853454,
5.52631564254e-08,2500.0,0.000500482405448,
5.56366754228e-08,2500.0,0.000514685252409,
5.61596020192e-08,2500.0,0.00053532517536,
5.68916992542e-08,2500.0,0.000565771144545,
5.79166353832e-08,2500.0,0.000611633042704,
5.93515459637e-08,2500.0,0.00068280878496,
6e-08,2500.0,0.000716173333657,
