folder_id,registry_case_id,registry_attempt_id,parent_run_id,phase,role,eligibility,status,registry_presence,folder_presence,parameter_attempt_id,parameter_phase,metadata_status,deck_sha256,mesh_sha256,source_path,folder_path,parameter_path
A01_v2500_let15_y3p5__attempt13_meshhalf_dc_segmented,A01_v2500_let15_y3p5,attempt13_meshhalf_dc_segmented,A01_v2500_let15_y3p5__attempt12_meshhalf_dc_bias,mesh_sensitivity_dc_bias,failure_recovery,diagnostic_only,INDETERMINATE,REGISTERED,PRESENT,attempt13_meshhalf_dc_segmented,mesh_sensitivity_dc_bias,MATCH,5f07a434b38be56a3e948faf0db8df24a57afb9ea52799f4d42da542586cb06e,eaffd57700f0d3b29264ff13204b51dc8d07063221cb542f7e1d20d2f650d268,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/case_summary.csv,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt13_meshhalf_dc_segmented,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt13_meshhalf_dc_segmented/parameters.json
A01_v2500_let15_y3p5__attempt17_meshhalf_dc_from500,A01_v2500_let15_y3p5,attempt17_meshhalf_dc_from500,A01_v2500_let15_y3p5__attempt13_meshhalf_dc_segmented,mesh_sensitivity_dc_bias,failure_recovery,diagnostic_only,DC_BIAS_VALID,REGISTERED,PRESENT,attempt17_meshhalf_dc_from500,mesh_sensitivity_dc_bias,MATCH,f7effdec90c050e1180908b50bac96bb0bcaa0cb78c449118ec84115ed1f2136,eaffd57700f0d3b29264ff13204b51dc8d07063221cb542f7e1d20d2f650d268,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/case_summary.csv,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt17_meshhalf_dc_from500,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt17_meshhalf_dc_from500/parameters.json
A01_v2500_let15_y3p5__attempt18_meshhalf_transient_to60,A01_v2500_let15_y3p5,attempt18_meshhalf_transient_to60,A01_v2500_let15_y3p5__attempt17_meshhalf_dc_from500,mesh_sensitivity_transient,physical_sensitivity,diagnostic_only,INDETERMINATE,REGISTERED,PRESENT,attempt18_meshhalf_transient_to60,mesh_sensitivity_transient,MATCH,bf99bdacae59beeb601856aed36997c8f974b24e91b9036c313c92d6314bdb32,eaffd57700f0d3b29264ff13204b51dc8d07063221cb542f7e1d20d2f650d268,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/case_summary.csv,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt18_meshhalf_transient_to60,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt18_meshhalf_transient_to60/parameters.json
A01_v2500_let15_y3p5__attempt19_wt0p2_transient_to60,A01_v2500_let15_y3p5,attempt19_wt0p2_transient_to60,A01_v2500_let15_y3p5__attempt07_A40_60,wt_hi_sensitivity,physical_sensitivity,diagnostic_only,INDETERMINATE,REGISTERED,PRESENT,attempt19_wt0p2_transient_to60,wt_hi_sensitivity,MATCH,2a031e36840288deafee14959f912c3deca521d72c9b17be9dbd4fbc71cf6334,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/case_summary.csv,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt19_wt0p2_transient_to60,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt19_wt0p2_transient_to60/parameters.json
A01_v2500_let15_y3p5__attempt20_wt0p2_charge_audit,A01_v2500_let15_y3p5,attempt20_wt0p2_charge_audit,A01_v2500_let15_y3p5__attempt19_wt0p2_transient_to60,wt_hi_charge_audit,input_audit,input_audit_only,INPUT_AUDIT_PASS,REGISTERED,PRESENT,attempt20_wt0p2_charge_audit,wt_hi_charge_audit,MATCH,b327e565a1a2fc3663dc14b856a7868efcbe7ce2e68db0c942df27c2c16d1a0a,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/case_summary.csv,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt20_wt0p2_charge_audit,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt20_wt0p2_charge_audit/parameters.json
A01_v2500_let15_y3p5__attempt21_wt0p5_transient_to60,A01_v2500_let15_y3p5,attempt21_wt0p5_transient_to60,A01_v2500_let15_y3p5__attempt19_wt0p2_transient_to60,wt_hi_sensitivity,physical_sensitivity,diagnostic_only,INDETERMINATE,REGISTERED,PRESENT,attempt21_wt0p5_transient_to60,wt_hi_sensitivity,MATCH,62db124450369f97124e6c4822d207aacfbf02fc5494177433bbdb5f7bf0ada9,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/case_summary.csv,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt21_wt0p5_transient_to60,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt21_wt0p5_transient_to60/parameters.json
A01_v2500_let15_y3p5__attempt22_wt0p5_charge_audit,A01_v2500_let15_y3p5,attempt22_wt0p5_charge_audit,A01_v2500_let15_y3p5__attempt21_wt0p5_transient_to60,wt_hi_charge_audit,input_audit,input_audit_only,INPUT_AUDIT_PASS,REGISTERED,PRESENT,attempt22_wt0p5_charge_audit,wt_hi_charge_audit,MATCH,4dbb836e817a9293e05df7c1cace2bac15679adfb1f9a521281980a0c2b2c022,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/case_summary.csv,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt22_wt0p5_charge_audit,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt22_wt0p5_charge_audit/parameters.json
A01_v2500_let15_y3p5__attempt23_cold300_dc_bias,A01_v2500_let15_y3p5,attempt23_cold300_dc_bias,A01_v2500_let15_y3p5__attempt05,thermal_initial_state_dc,physical_sensitivity,diagnostic_only,DIAGNOSTIC_STATE_VALID,REGISTERED,PRESENT,attempt23_cold300_dc_bias,thermal_initial_state_dc,MATCH,e37c4cd140c86a2debead51279d03688d6ee856af4b16b20f758251b6b7a4fec,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/case_summary.csv,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt23_cold300_dc_bias,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt23_cold300_dc_bias/parameters.json
A01_v2500_let15_y3p5__attempt24_cold300_transient_to60,A01_v2500_let15_y3p5,attempt24_cold300_transient_to60,A01_v2500_let15_y3p5__attempt23_cold300_dc_bias,thermal_initial_state_sensitivity,physical_sensitivity,diagnostic_only,INDETERMINATE,REGISTERED,PRESENT,attempt24_cold300_transient_to60,thermal_initial_state_sensitivity,MATCH,87a661d7613c598e36d390abd73512ac484fc0f7282af8ce3c2373ecf9bf0ae3,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/case_summary.csv,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt24_cold300_transient_to60,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt24_cold300_transient_to60/parameters.json
A01_v2500_let15_y3p4__attempt25_position_transient_to60,A01_v2500_let15_y3p4,attempt25_position_transient_to60,A01_v2500_let15_y3p5__attempt07_A40_60,position_sensitivity,physical_sensitivity,diagnostic_only,INDETERMINATE,REGISTERED,PRESENT,attempt25_position_transient_to60,position_sensitivity,MATCH,ffa52e333989bc9832bd53a23172038fd75aaccd5d544b14fb90356cf52f6887,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/case_summary.csv,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p4__attempt25_position_transient_to60,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p4__attempt25_position_transient_to60/parameters.json
A01_v2500_let15_y3p6__attempt26_position_transient_to60,A01_v2500_let15_y3p6,attempt26_position_transient_to60,A01_v2500_let15_y3p5__attempt07_A40_60,position_sensitivity,physical_sensitivity,diagnostic_only,INDETERMINATE,REGISTERED,PRESENT,attempt26_position_transient_to60,position_sensitivity,MATCH,64bc55d253ea7b2c3966db2822210a46eb51f7ec571d8ddf5f1863bd002c7ff4,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/case_summary.csv,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p6__attempt26_position_transient_to60,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p6__attempt26_position_transient_to60/parameters.json
A01_v2500_let15_y3p5__attempt13_meshhalf_dcbench_t1,A01_v2500_let15_y3p5,attempt13_meshhalf_dcbench_t1,A01_v2500_let15_y3p5__attempt12_meshhalf_dc_bias,mesh_sensitivity_dc_benchmark,performance_probe,performance_only,PERFORMANCE_PROBE_COMPLETED,REGISTERED,PRESENT,NA,NA,NO_PARAMETERS_FILE,59060c9e047c907cb2215a8cab6f23701965dff6536c64e8d3cc951365376898,eaffd57700f0d3b29264ff13204b51dc8d07063221cb542f7e1d20d2f650d268,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/case_summary.csv,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt13_meshhalf_dcbench_t1,NA
A01_v2500_let15_y3p5__attempt14_meshhalf_dcbench_t2,A01_v2500_let15_y3p5,attempt14_meshhalf_dcbench_t2,A01_v2500_let15_y3p5__attempt13_meshhalf_dcbench_t1,mesh_sensitivity_dc_benchmark,performance_probe,performance_only,PERFORMANCE_PROBE_COMPLETED,REGISTERED,PRESENT,NA,NA,NO_PARAMETERS_FILE,59060c9e047c907cb2215a8cab6f23701965dff6536c64e8d3cc951365376898,eaffd57700f0d3b29264ff13204b51dc8d07063221cb542f7e1d20d2f650d268,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/case_summary.csv,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt14_meshhalf_dcbench_t2,NA
A01_v2500_let15_y3p5__attempt15_meshhalf_dcbench_t4,A01_v2500_let15_y3p5,attempt15_meshhalf_dcbench_t4,A01_v2500_let15_y3p5__attempt13_meshhalf_dcbench_t1,mesh_sensitivity_dc_benchmark,performance_probe,performance_only,PERFORMANCE_PROBE_COMPLETED,REGISTERED,PRESENT,NA,NA,NO_PARAMETERS_FILE,59060c9e047c907cb2215a8cab6f23701965dff6536c64e8d3cc951365376898,eaffd57700f0d3b29264ff13204b51dc8d07063221cb542f7e1d20d2f650d268,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/case_summary.csv,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt15_meshhalf_dcbench_t4,NA
A01_v2500_let15_y3p5__attempt09_input_audit,NA,NA,NA,unregistered,historical_or_incomplete_directory,not_in_controlled_ledger,UNREGISTERED_DIRECTORY,UNREGISTERED,PRESENT,attempt03,anchor,UNREGISTERED_DIRECTORY,NA,NA,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt09_input_audit,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt09_input_audit,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt09_input_audit/parameters.json
A01_v2500_let15_y3p5__attempt10_input_audit_full,NA,NA,NA,unregistered,historical_or_incomplete_directory,not_in_controlled_ledger,UNREGISTERED_DIRECTORY,UNREGISTERED,PRESENT,attempt03,anchor,UNREGISTERED_DIRECTORY,NA,NA,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt10_input_audit_full,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt10_input_audit_full,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt10_input_audit_full/parameters.json
A01_v2500_let15_y3p5__attempt16_meshhalf_staged_dc_t1,NA,NA,NA,unregistered,historical_or_incomplete_directory,not_in_controlled_ledger,UNREGISTERED_DIRECTORY,UNREGISTERED,PRESENT,NA,NA,UNREGISTERED_DIRECTORY,NA,NA,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt16_meshhalf_staged_dc_t1,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt16_meshhalf_staged_dc_t1,NA
A01_v2500_let15_y3p5__attempt18_meshhalf_transient_0_60,NA,NA,NA,unregistered,historical_or_incomplete_directory,not_in_controlled_ledger,UNREGISTERED_DIRECTORY,UNREGISTERED,PRESENT,attempt18_meshhalf_transient_0_60,mesh_sensitivity_transient,UNREGISTERED_DIRECTORY,NA,NA,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt18_meshhalf_transient_0_60,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt18_meshhalf_transient_0_60,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt18_meshhalf_transient_0_60/parameters.json
