time_s,collector_inner_voltage_v,collector_total_current_a_um,plt_tmax_k
1.023853376e-08,2500.0,8.13046793526e-06,324.672024773
1.0343947264e-08,2500.0,8.25596502802e-06,324.672885173
1.04915261696e-08,2500.0,8.43455868951e-06,324.674121699
1.06981366374e-08,2500.0,8.69001809113e-06,324.675916604
1.09873912924e-08,2500.0,9.05779541031e-06,324.678557485
1.13923478094e-08,2500.0,9.59293948153e-06,324.682514626
1.19592869331e-08,2500.0,1.0383291204e-05,324.688592776
1.27530017064e-08,2500.0,1.15608211787e-05,324.698232369
1.38642023889e-08,2500.0,1.33278049826e-05,324.714080987
1.54198833445e-08,2500.0,1.59918313733e-05,324.740980176
1.75978366823e-08,2500.0,2.01354333463e-05,324.788229623
2.06469713553e-08,2500.0,2.70421830091e-05,324.876530545
2.27813656263e-08,2500.0,3.25058232024e-05,324.950220209
2.42754416161e-08,2500.0,3.66913018357e-05,325.007625713
2.63671480017e-08,2500.0,4.35003332613e-05,325.100185317
2.92955369416e-08,2500.0,5.56840535232e-05,325.255663388
3.13454091995e-08,2500.0,6.58171876656e-05,325.382784493
3.42152303606e-08,2500.0,8.44805367619e-05,325.593326968
3.62241051733e-08,2500.0,0.000100013227874,325.760589937
3.63998817195e-08,2500.0,0.000101347014858,325.776181329
3.6645968884e-08,2500.0,0.000103304543621,325.798214299
3.69904909144e-08,2500.0,0.000106094590681,325.829435673
3.7472821757e-08,2500.0,0.000110156779721,325.873814779
3.81480849365e-08,2500.0,0.000116110002331,325.936929486
3.86207691622e-08,2500.0,0.000120412502427,325.982468315
3.89516481202e-08,2500.0,0.000123466183171,326.015998376
3.94148786614e-08,2500.0,0.000127921444321,326.063252766
4e-08,2500.0,0.000133712875878,326.123112142
4.001e-08,2500.0,0.000133802342625,326.124135144
4.0024e-08,2500.0,0.000133935007932,326.125567268
4.00436e-08,2500.0,0.000134125711583,326.127572077
4.007104e-08,2500.0,0.000134398319311,326.130378586
4.0109456e-08,2500.0,0.000134785483782,326.134307683
4.01632384e-08,2500.0,0.00013533002991,326.139809271
4.023853376e-08,2500.0,0.000136091970258,326.147513959
4.0343947264e-08,2500.0,0.000137157195257,326.158303661
4.04915261696e-08,2500.0,0.000138644878754,326.17397536
4.06981366374e-08,2500.0,0.000140759592271,326.196695137
4.09873912924e-08,2500.0,0.000143827983831,326.228520147
4.13923478094e-08,2500.0,0.000148255594248,326.273127092
4.19592869331e-08,2500.0,0.000154717323646,326.335665597
4.27530017064e-08,2500.0,0.000164453008274,326.42967352
4.38642023889e-08,2500.0,0.000179406633699,326.568783359
4.54198833445e-08,2500.0,0.000203209660048,326.790002528
4.75978366823e-08,2500.0,0.000243037530464,327.170973426
4.87989183412e-08,2500.0,0.000267078810836,327.423264417
4.93994591706e-08,2500.0,0.000279636559354,327.563948762
5e-08,2500.0,0.000292788274736,327.716506392
5.001e-08,2500.0,0.000293003631704,327.719094427
5.0024e-08,2500.0,0.000293308066979,327.722719578
5.00436e-08,2500.0,0.00029373579245,327.727798514
5.007104e-08,2500.0,0.000294336563608,327.73491635
5.0109456e-08,2500.0,0.000295181511462,327.744895851
5.01632384e-08,2500.0,0.000296371119993,327.75889622
5.023853376e-08,2500.0,0.000298046453028,327.778554697
5.0343947264e-08,2500.0,0.00030040966388,327.806191076
5.04915261696e-08,2500.0,0.000303754295777,327.847431268
5.06981366374e-08,2500.0,0.000308509340248,327.906600833
5.09873912924e-08,2500.0,0.000315312552139,327.990447742
5.13923478094e-08,2500.0,0.000325134584583,328.114094184
5.19592869331e-08,2500.0,0.000339474897301,328.298462803
5.27530017064e-08,2500.0,0.000360768880884,328.58419809
5.3030801877e-08,2500.0,0.000368338846815,328.690467957
5.34197221159e-08,2500.0,0.00037924633206,328.845905583
5.39642104504e-08,2500.0,0.000395123535384,329.075669875
5.47264941186e-08,2500.0,0.000418594143733,329.425011995
5.57936912541e-08,2500.0,0.000454049855367,329.977912829
5.6540729249e-08,2500.0,0.000480088212135,330.398727845
5.68021925472e-08,2500.0,0.000489320627824,330.732953808
5.71682411647e-08,2500.0,0.000502578144826,331.456963447
5.76807092292e-08,2500.0,0.00052180043577,332.461348442
5.83981645194e-08,2500.0,0.000550060996888,333.843817157
5.94026019258e-08,2500.0,0.000592416057639,335.787947561
6e-08,2500.0,0.000618470808908,336.930591687
