case_id,attempt_id,parent_run_id,phase,target_vce_v,actual_vce_v,let_mev_cm2_mg,let_pc_um,y_um,length_um,wt_um,s_s,time_end_s,mesh_variant,tmax_k,t1680_s,t2500_s,peak_ic_a_um,peak_power_w_um,status,run_dir,deck_sha256,mesh_sha256,plt_file,log_file,tdr_file,notes
A01_v2500_let15_y3p5,attempt08_B1_40_60,A01_v2500_let15_y3p5__attempt07_A40_60,execution_benchmark,2500,2500,15,0.1555,3.5,50,0.1,2e-12,6e-8,seb_core_0p2x0p025,335.546726154,NA,NA,7.48228447661e-4,1.87057111915,INDETERMINATE,private_case_dir,3a7b1f395a192734590eb796d9f565bdb28cd03f7c3a839dcdf6e15ccafd270c,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,transient_case.plt,case.log_des.log,checkpoint_60ns_des.sav,B1 Iterations15 physically equivalent but 26.9pct slower; rejected
A01_v2500_let15_y3p5,attempt09_B2_40_60,A01_v2500_let15_y3p5__attempt08_B1_40_60,execution_benchmark,2500,2500,15,0.1555,3.5,50,0.1,2e-12,5.17458152554e-8,seb_core_0p2x0p025,329.122749569,NA,NA,3.74399014021e-4,0.935997535052,INDETERMINATE,private_case_dir,c4c9516019ddd2e5464f909ebf2dbb1230a213543cbf0644f779f39ab05bf983,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,transient_case.plt,case.log_des.log,NA,B2 Increment1.2 exhausted 1200s budget at 51.746ns; rejected
A01_v2500_let15_y3p5,attempt10_B3_40_60,A01_v2500_let15_y3p5__attempt07_A40_60,execution_benchmark,2500,2500,15,0.1555,3.5,50,0.1,2e-12,6e-8,seb_core_0p2x0p025,336.122107885,NA,NA,7.79452644331e-4,1.94863161083,INDETERMINATE,private_case_dir,5c5e7ae3449c17b471d2f314b21395a55faeac3ed509250c26a2a5accbfea555,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,transient_case.plt,case.log_des.log,checkpoint_60ns_des.sav,B3 no Extrapolate improved 8.2pct below 10pct gate; rejected
A01_v2500_let15_y3p5,attempt12_meshhalf_dc_bias,NA,mesh_sensitivity_dc_bias,2500,22.17,15,0.1555,3.5,50,0.1,2e-12,NA,a01_track_core_half_0p1x0p0125,300.013,NA,NA,1.884e-08,4.361e-07,INDETERMINATE,private_case_dir,ae802c90f5f6849f0d854ddc9f536ccaa43c2cd196c53ce247ba290959ba4c30,eaffd57700f0d3b29264ff13204b51dc8d07063221cb542f7e1d20d2f650d268,case.plt,case.log_des.log,NA,dc ramp hard timeout 1200s at last converged 22.17V; no new-mesh true Save; attempt13 blocked
A01_v2500_let15_y3p5,attempt13_meshhalf_dc_segmented,A01_v2500_let15_y3p5__attempt12_meshhalf_dc_bias,mesh_sensitivity_dc_bias,2500,718.7,15,0.1555,3.5,50,0.1,2e-12,NA,a01_track_core_half_0p1x0p0125,304.138,NA,NA,7.763e-08,5.577e-05,INDETERMINATE,private_case_dir,5f07a434b38be56a3e948faf0db8df24a57afb9ea52799f4d42da542586cb06e,eaffd57700f0d3b29264ff13204b51dc8d07063221cb542f7e1d20d2f650d268,case.plt,case.log_des.log,bias0500_meshhalf_des.sav,time_budget_exhausted: 500V true Save retained; last converged 718.7V
A01_v2500_let15_y3p5,attempt17_meshhalf_dc_from500,A01_v2500_let15_y3p5__attempt13_meshhalf_dc_segmented,mesh_sensitivity_dc_bias,2500,2500,15,0.1555,3.5,50,0.1,2e-12,NA,a01_track_core_half_0p1x0p0125,325.797681744,NA,NA,NA,NA,DC_BIAS_VALID,private_case_dir,f7effdec90c050e1180908b50bac96bb0bcaa0cb78c449118ec84115ed1f2136,eaffd57700f0d3b29264ff13204b51dc8d07063221cb542f7e1d20d2f650d268,case.plt,case.log_des.log,bias2500_meshhalf_des.sav,loaded same-mesh 500V Save and reached2500V; state SHA d7d8985c...e84bfad6
A01_v2500_let15_y3p5,attempt18_meshhalf_transient_to60,A01_v2500_let15_y3p5__attempt17_meshhalf_dc_from500,mesh_sensitivity_transient,2500,2500,15,0.1555,3.5,50,0.1,2e-12,6e-8,a01_track_core_half_0p1x0p0125,338.174047578,NA,NA,0.000644645065445,1.6116126636125,INDETERMINATE,private_case_dir,bf99bdacae59beeb601856aed36997c8f974b24e91b9036c313c92d6314bdb32,eaffd57700f0d3b29264ff13204b51dc8d07063221cb542f7e1d20d2f650d268,transient_case.plt,case.log_des.log,field_60ns_des.tdr,mesh_sensitive: 60ns current -15.225pct vs baseline; both trends grow
A01_v2500_let15_y3p5,attempt19_wt0p2_transient_to60,A01_v2500_let15_y3p5__attempt07_A40_60,wt_hi_sensitivity,2500,2500,15,0.1555,3.5,50,0.2,2e-12,6e-8,seb_core_0p2x0p025,336.936010142,NA,NA,0.000618941860719,1.5473546517975,INDETERMINATE,private_case_dir,2a031e36840288deafee14959f912c3deca521d72c9b17be9dbd4fbc71cf6334,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,transient_case.plt,case.log_des.log,field_60ns_des.tdr,charge PASS +4.340pct; 60ns current -18.605pct; growth persists
A01_v2500_let15_y3p5,attempt20_wt0p2_charge_audit,A01_v2500_let15_y3p5__attempt19_wt0p2_transient_to60,wt_hi_charge_audit,2500,2500,15,0.1555,3.5,50,0.2,2e-12,1.08e-10,seb_core_0p2x0p025,NA,NA,NA,NA,NA,INPUT_AUDIT_PASS,private_case_dir,b327e565a1a2fc3663dc14b856a7868efcbe7ce2e68db0c942df27c2c16d1a0a,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,transient_case.plt,case.log_des.log,audit_100ps_des.tdr,charge audit PASS: 8.112455pC vs 7.775pC; +4.340pct
A01_v2500_let15_y3p5,attempt21_wt0p5_transient_to60,A01_v2500_let15_y3p5__attempt19_wt0p2_transient_to60,wt_hi_sensitivity,2500,2500,15,0.1555,3.5,50,0.5,2e-12,6e-8,seb_core_0p2x0p025,337.092474706,NA,NA,0.000622856459559,1.5571411488975,INDETERMINATE,private_case_dir,62db124450369f97124e6c4822d207aacfbf02fc5494177433bbdb5f7bf0ada9,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,transient_case.plt,case.log_des.log,field_60ns_des.tdr,charge PASS +4.589pct; Wt effect saturated; growth persists
A01_v2500_let15_y3p5,attempt22_wt0p5_charge_audit,A01_v2500_let15_y3p5__attempt21_wt0p5_transient_to60,wt_hi_charge_audit,2500,2500,15,0.1555,3.5,50,0.5,2e-12,1.08e-10,seb_core_0p2x0p025,NA,NA,NA,NA,NA,INPUT_AUDIT_PASS,private_case_dir,4dbb836e817a9293e05df7c1cace2bac15679adfb1f9a521281980a0c2b2c022,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,transient_case.plt,case.log_des.log,audit_100ps_des.tdr,charge audit PASS: 8.131790pC vs 7.775pC; +4.589pct
A01_v2500_let15_y3p5,attempt23_cold300_dc_bias,A01_v2500_let15_y3p5__attempt05,thermal_initial_state_dc,2500,2500,NA,NA,NA,NA,NA,NA,NA,seb_core_0p2x0p025,300.0,NA,NA,NA,NA,DIAGNOSTIC_STATE_VALID,private_case_dir,e37c4cd140c86a2debead51279d03688d6ee856af4b16b20f758251b6b7a4fec,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,case.plt,case.log_des.log,bias2500_cold300_des.tdr,labeled nonsteady300K 2500V state; thermal contacts unchanged
A01_v2500_let15_y3p5,attempt24_cold300_transient_to60,A01_v2500_let15_y3p5__attempt23_cold300_dc_bias,thermal_initial_state_sensitivity,2500,2500,15,0.1555,3.5,50,0.1,2e-12,6e-8,seb_core_0p2x0p025,339.677254315,NA,NA,0.000812775499366,2.031938748415,INDETERMINATE,private_case_dir,87a661d7613c598e36d390abd73512ac484fc0f7282af8ce3c2373ecf9bf0ae3,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,transient_case.plt,case.log_des.log,field_60ns_des.tdr,300K cold state increased late current; preheat not primary cause
A01_v2500_let15_y3p4,attempt25_position_transient_to60,A01_v2500_let15_y3p5__attempt07_A40_60,position_sensitivity,2500,2500,15,0.1555,3.4,50,0.1,2e-12,6e-8,seb_core_0p2x0p025,336.925458787,NA,NA,0.000618865275295,1.5471631882375,INDETERMINATE,private_case_dir,ffa52e333989bc9832bd53a23172038fd75aaccd5d544b14fb90356cf52f6887,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,transient_case.plt,case.log_des.log,field_60ns_des.tdr,bounded local diagnostic; 60ns current -18.615pct vs Y3.5; still growing
A01_v2500_let15_y3p6,attempt26_position_transient_to60,A01_v2500_let15_y3p5__attempt07_A40_60,position_sensitivity,2500,2500,15,0.1555,3.6,50,0.1,2e-12,6e-8,seb_core_0p2x0p025,337.002672018,NA,NA,0.000622172430949,1.5554310773725,INDETERMINATE,private_case_dir,64bc55d253ea7b2c3966db2822210a46eb51f7ec571d8ddf5f1863bd002c7ff4,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,transient_case.plt,case.log_des.log,field_60ns_des.tdr,bounded local diagnostic; 60ns current -18.181pct vs Y3.5; still growing
A01_v2500_let15_y3p5,attempt13_meshhalf_dcbench_t1,A01_v2500_let15_y3p5__attempt12_meshhalf_dc_bias,mesh_sensitivity_dc_benchmark,2500,0.3125,NA,NA,NA,NA,NA,NA,NA,a01_track_core_half_0p1x0p0125,NA,NA,NA,NA,NA,PERFORMANCE_PROBE_COMPLETED,private_case_dir,59060c9e047c907cb2215a8cab6f23701965dff6536c64e8d3cc951365376898,eaffd57700f0d3b29264ff13204b51dc8d07063221cb542f7e1d20d2f650d268,NA,NA,NA,300s one-thread probe; selected lowest resource; no physical classification
A01_v2500_let15_y3p5,attempt14_meshhalf_dcbench_t2,A01_v2500_let15_y3p5__attempt13_meshhalf_dcbench_t1,mesh_sensitivity_dc_benchmark,2500,0.3125,NA,NA,NA,NA,NA,NA,NA,a01_track_core_half_0p1x0p0125,NA,NA,NA,NA,NA,PERFORMANCE_PROBE_COMPLETED,private_case_dir,59060c9e047c907cb2215a8cab6f23701965dff6536c64e8d3cc951365376898,eaffd57700f0d3b29264ff13204b51dc8d07063221cb542f7e1d20d2f650d268,NA,NA,NA,300s two-thread probe; equivalent trajectory but higher CPU; rejected
A01_v2500_let15_y3p5,attempt15_meshhalf_dcbench_t4,A01_v2500_let15_y3p5__attempt13_meshhalf_dcbench_t1,mesh_sensitivity_dc_benchmark,2500,0.3125,NA,NA,NA,NA,NA,NA,NA,a01_track_core_half_0p1x0p0125,NA,NA,NA,NA,NA,PERFORMANCE_PROBE_COMPLETED,private_case_dir,59060c9e047c907cb2215a8cab6f23701965dff6536c64e8d3cc951365376898,eaffd57700f0d3b29264ff13204b51dc8d07063221cb542f7e1d20d2f650d268,NA,NA,NA,300s four-thread probe; equivalent trajectory but higher CPU; rejected
