let_mev_cm2_mg,initial_state,case_id,run_id,time_s,vce_v,ic_a_um,tmax_k,tpre_k,delta_t_k,power_w_um,source_path,source_sha256,source_row
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,2.57492675781e-11,2500.0,1.31249132996e-07,324.633215689,324.633215689,0.0,0.00032812283249000003,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,13
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,3.57492675781e-11,2500.0,1.31249132691e-07,324.633215689,324.633215689,0.0,0.0003281228317275,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,14
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,4.57492675781e-11,2500.0,1.31249134988e-07,324.633215689,324.633215689,0.0,0.00032812283747,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,15
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,5.57492675781e-11,2500.0,1.31249133417e-07,324.633215689,324.633215689,0.0,0.0003281228335425,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,16
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,6.57492675781e-11,2500.0,1.31249133153e-07,324.633215689,324.633215689,0.0,0.00032812283288250003,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,17
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,7.57492675781e-11,2500.0,1.31249134161e-07,324.633215689,324.633215689,0.0,0.00032812283540249997,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,18
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,8.57492675781e-11,2500.0,1.31249131598e-07,324.633215689,324.633215689,0.0,0.000328122828995,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,19
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,9.57492675781e-11,2500.0,1.78532116145e-07,324.633215689,324.633215689,0.0,0.0004463302903625,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,20
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,9.8e-11,2500.0,5.78565610063e-07,324.63321569,324.633215689,9.999894245993346e-10,0.0014464140251575,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,21
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,9.82e-11,2500.0,6.49993875458e-07,324.63321569,324.633215689,9.999894245993346e-10,0.0016249846886449999,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,22
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,9.84e-11,2500.0,7.28220780283e-07,324.63321569,324.633215689,9.999894245993346e-10,0.0018205519507075,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,23
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,9.86e-11,2500.0,8.129972367e-07,324.63321569,324.633215689,9.999894245993346e-10,0.00203249309175,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,24
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,9.88e-11,2500.0,9.03947899359e-07,324.63321569,324.633215689,9.999894245993346e-10,0.0022598697483975,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,25
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,9.9e-11,2500.0,1.00054505068e-06,324.63321569,324.633215689,9.999894245993346e-10,0.0025013626267,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,26
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,9.92e-11,2500.0,1.1021148286e-06,324.63321569,324.633215689,9.999894245993346e-10,0.0027552870715,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,27
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,9.94e-11,2500.0,1.20784827931e-06,324.63321569,324.633215689,9.999894245993346e-10,0.003019620698275,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,28
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,9.96e-11,2500.0,1.31681940247e-06,324.63321569,324.633215689,9.999894245993346e-10,0.003292048506175,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,29
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,9.98e-11,2500.0,1.42800892005e-06,324.63321569,324.633215689,9.999894245993346e-10,0.003570022300125,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,30
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1e-10,2500.0,1.54033235457e-06,324.63321569,324.633215689,9.999894245993346e-10,0.0038508308864249998,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,31
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1.002e-10,2500.0,1.65267158308e-06,324.63321569,324.633215689,9.999894245993346e-10,0.0041316789577,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,32
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1.004e-10,2500.0,1.76390807866e-06,324.63321569,324.633215689,9.999894245993346e-10,0.0044097701966500005,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,33
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1.006e-10,2500.0,1.8729560347e-06,324.63321569,324.633215689,9.999894245993346e-10,0.00468239008675,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,34
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1.008e-10,2500.0,1.97879399359e-06,324.63321569,324.633215689,9.999894245993346e-10,0.004946984983975,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,35
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1.01e-10,2500.0,2.08049327699e-06,324.63321569,324.633215689,9.999894245993346e-10,0.005201233192475,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,36
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1.012e-10,2500.0,2.17724204594e-06,324.63321569,324.633215689,9.999894245993346e-10,0.0054431051148499995,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,37
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1.014e-10,2500.0,2.26836385997e-06,324.63321569,324.633215689,9.999894245993346e-10,0.005670909649925,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,38
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1.016e-10,2500.0,2.35332981966e-06,324.63321569,324.633215689,9.999894245993346e-10,0.0058833245491499995,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,39
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1.018e-10,2500.0,2.4317648836e-06,324.63321569,324.633215689,9.999894245993346e-10,0.006079412209,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,40
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1.02e-10,2500.0,2.5034473348e-06,324.63321569,324.633215689,9.999894245993346e-10,0.0062586183370000005,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,41
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1.022e-10,2500.0,2.5682982325e-06,324.63321569,324.633215689,9.999894245993346e-10,0.006420745581250001,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,42
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1.0248e-10,2500.0,2.64775774875e-06,324.63321569,324.633215689,9.999894245993346e-10,0.006619394371875,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,43
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1.02872e-10,2500.0,2.73785768965e-06,324.63321569,324.633215689,9.999894245993346e-10,0.006844644224125,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,44
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1.034208e-10,2500.0,2.82749948371e-06,324.633215691,324.633215689,1.999978849198669e-09,0.0070687487092749995,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,45
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1.0418912e-10,2500.0,2.89855480595e-06,324.633215691,324.633215689,1.999978849198669e-09,0.007246387014875,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,46
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1.05264768e-10,2500.0,2.93585478135e-06,324.633215692,324.633215689,3.0000251172168646e-09,0.007339636953375,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,47
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1.067706752e-10,2500.0,2.94332404865e-06,324.633215693,324.633215689,4.000014541816199e-09,0.007358310121625001,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,48
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1.0887894528e-10,2500.0,2.93825264116e-06,324.633215696,324.633215689,6.999982815614203e-09,0.0073456316029,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,49
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1.11830523392e-10,2500.0,2.92856322649e-06,324.6332157,324.633215689,1.0999997357430402e-08,0.007321408066225,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,50
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1.15962732749e-10,2500.0,2.91384148586e-06,324.633215708,324.633215689,1.90000264410628e-08,0.00728460371465,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,51
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1.21747825848e-10,2500.0,2.8922067188e-06,324.633215723,324.633215689,3.399998149689054e-08,0.007230516796999999,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,52
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1.29846956188e-10,2500.0,2.86103494896e-06,324.633215752,324.633215689,6.300001587078441e-08,0.0071525873724,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,53
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1.41185738663e-10,2500.0,2.81645484203e-06,324.633215808,324.633215689,1.1899999208253575e-07,0.007041137105075,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,54
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1.57060034128e-10,2500.0,2.75094060003e-06,324.633215914,324.633215689,2.2500000795844244e-07,0.006877351500075,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,55
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1.79284047779e-10,2500.0,2.64794893966e-06,324.633216115,324.633215689,4.2599998550940654e-07,0.0066198723491499994,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,56
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,2.1039766689e-10,2500.0,2.47305343671e-06,324.633216494,324.633215689,8.050000133152935e-07,0.006182633591775,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,57
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,2.53956733647e-10,2500.0,2.15950969763e-06,324.63321719,324.633215689,1.5009999856374634e-06,0.005398774244075,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,58
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,3.14939427105e-10,2500.0,1.68295904745e-06,324.633218413,324.633215689,2.72400001222195e-06,0.004207397618625,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,59
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,4e-10,2500.0,1.29892996054e-06,324.633220484,324.633215689,4.794999995283433e-06,0.00324732490135,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,60
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,4.1e-10,2500.0,1.25677192215e-06,324.633220733,324.633215689,5.043999976805935e-06,0.003141929805375,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,61
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,4.24e-10,2500.0,1.21440367704e-06,324.63322109,324.633215689,5.401000009896961e-06,0.0030360091926,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,62
